"User","Comment","Rating","Date"
"tevernaugh-76446","How does Aang make it through the entire season and never even attempted to learn how to wate-rbend??....I thought the series started off really well. The costumes were designed quite poorly, they looked cosplay-ish and even then they're deep in battle they never even seem to get dirty. The animals were designed extremely well and made the series a bit more bearable. The acting wasn't terrible but the over-acting worsened as the series went on and by the end seemed soap opera-ish. In the first few episodes they made minor changes to the storyline, which is expected but half way through they take it entirely too far and started forcing different stories together and started making abilities that are supposed to be unique and special available to every character. They also made Aang seem lazy. He didn't even try to learn waterbending because he thinks one of the past avatars would take over and do it for him. 1/3 of the series is over and Aang is just as untrained as he was 100 years ago. I hope they do better next time around.","5","2 March 2024"
"poseyfan","At long last, Netflix's Avatar: The Last Airbender has arrived. And I must say, I didn't necessarily care for it too much. This calls for the classic line: If it ain't broke, don't try to fix it.I wasn't swayed one way or the other. I didn't hate it, but I didn't love it. It kind of just exists. I couldn't help but compare everything in the show to the original cartoon. (One of the best TV shows ever in my book.) Everything was done in its shadow.At one point I was watching with my brothers and we were like ""this is kind of mid. We should just watch the cartoon."" And that's what we did. I think that tells you all you need to know.I heard someone say that this was on par with Disney's recent live action remakes. Mostly soulless remakes. And I would have to agree.The best part of this show is the casting I would say. The acting is just ok though.Overall, I didn't care too much for it.","6","27 February 2024"
"ramosaral","First things first, they did a top notch job with visual effects. Bending techniques, the way the elements connect with the bodies of the characters, the places all look wonderful. They bring the world alive. However, that is not what ATLA is about. In order for the characters to have their development we need to see their interaction, we need to see their characters, that is why we love the characters in the cartoon. Here the characters are all over the place. There is no goofiness, they are all too serious which bothers.Also, showing things subtly, inserting the message between the lines is the strength of the cartoon. Here they deliver ling winded, empty, and bland speeches that do not move us.","3","22 February 2024"
"MissSimonetta","I'm too exhausted with these pointless live action remakes of animated classics to get angry anymore. This Netflix redo of AVATAR: THE LAST AIRBENDER is at best competent, with handsome production design and costuming. Storywise, it strips out the humor of the original, leaving us with grim imitations of the characters we so loved. The sadsack reimagining of the feisty Katara is particularly horrid.The acting is spotty. Some of the performers are pretty good, but so many of the line readings come off like community theater. Where's the passion?While not the fiasco the previous live action feature was, this new AVATAR is just pointless. Yeah it's not bad, but why settle for not bad when the original show was great? I'd rather just rewatch the old one for the hundredth time.","6","27 February 2024"
"pollereulogy","I understand that adapting a cartoon series scene by scene into a live adaptation is impractical. However, removing the lead character's pivotal arc, which was integral to the essence of the original story, weakens the storytelling. The Aang portrayed lacks the innocence and depth of the 12-year-old protagonist we grew to love; instead, he's presented as a young adult novel archetype warrior.Moreover, the characters seem to lack the comedic traits that defined them, resulting in scenes that feel devoid of emotion and overly somber.The direction feels stagnant, with characters rigidly placed and delivering exposition rather than engaging dynamically with the world around them.Numerous unnecessary changes detract from the impactful moments, surprising reveals, and character development that made the original series so compelling.While I appreciate the efforts put into the visuals and action sequences, they shouldn't be the sole focus of a production with such a substantial budget.","6","22 February 2024"
"seige-hound","The Netflix adaptation of Avatar is decent. It takes the core plot points, remixes them a little, and turns it into a slightly more mature-toned version. It's still family friendly, but more closely resembling a modern PG-13 superhero story than the PG original.My core complaints are the dialogue writing and the overall rush to get through the plot at the expense of deeper character development. There is a lot of fanservice, references to the Kyoshi books, a lot of action, and some small changes that I would argue are a little better than the original. However, those are at the expense of a deeper connection with the characters. The most well-developed characters are Aang and Zuko, but even they get a few of their core characteristics shaved off. Aang is a lot less goofy. He still acts like a kid and makes a few good jokes, but he isn't going on little sidequest adventures anymore. There's no elephant koi at Kyoshi Island and only a little cart surfing in Omashu. It's like they trimmed the fat and lost the flavour.Another issue is the dialogue. Especially in the first episode, the dialogue is very clumsy and exposition-heavy. A lot of telling, and not enough showing. It does improve a bit from episodes 2-8, but a rough start gives a very poor impression, unfortunately.In terms of the good, there is a decent amount. The choice to combine several plot elements from different episodes into one does work. For example, the third and fourth episodes in Omashu combine plot elements from ""The King of Omashu"", ""Jet"", ""The Northern Air Temple"" and surprisingly ""The Cave of Two Lovers"". You'd think I'm crazy, but it surprisingly works a lot better than it should.Then there's the fight scenes. While not as impactful as the animated show, the mix of top-tier CG effects with real choreography far surpasses most fantasy television, let alone the awful 2010 movie. There's no six earthbenders lifting a single pebble in this one, I can assure you of that. Waterbending feels a little weak in this show, but that's about it honestly.Overall, I'm impressed by the effort. It's not a perfect show, and it definitely isn't remotely better than the original, but I do think it's worth a watch, and I'm looking forward to seeing the rest when it comes out.","6","24 February 2024"
"Shiryu05","The mish-mash of story arcs, the rush of the entire first book, and the injustice they have done to several characters is hugely problematic, Hugely problematic!!!. While I liked seeing Kiyoshi early on, is it not supposed to be Roku as the first line of communication in the Avatar world?? It's almost like the guys who took over threw everything into a bowl, closed their eyes, and started picking events and characters to place in random order. I have waited years for this and am sorely disappointed by the final result. We still have two books to get through - I can only wonder how they will manage to mess that up...","5","22 February 2024"
"bestdesigns","I really loved the animated Series of Avatar, watched it so many times.Good things :
Although this season is much better than last flop movie but they missed so many things. CGI is much better, effects and fights are really good. Bending effects couldnt be better .Bad things :
The fun of characters was nowhere to be seen. Sokka was suppose to be a funny guy but they made him look so angry all the time. Same goes for bhoomi and Iroh.Story has been changed much enough that for person who never watched it wouldnt understand all of it.Dialogues and script is so cringe at some places. Specially dialogues of kitara and sokka. Unnecessarily trying to fit the dialogues of animated series without setting up the whole script .So its 6/10 for me.","6","23 February 2024"
"LovecraftKaiju","I usually type my review out long and detailed, but I love the OG show so much and after watching this adaptation I dont feel like bashing this just out of my love for the source material and cus this was bland.But if I was to TL;DR it - Same ol same ol,Same old Netflix being Netflix
just rushing motivations and character development scenes only to replace it with expository paragraph like stilted and flat dialogue just so they can get to that Key high points in the story without the actual soul of the journey.No humor or joy in scenes that were taken from OG but twisted around to be exposition, and where there is humor it feels mean spirited or cringe or just humor in places that makes no sense and confuses you more than anything so you dont really find it funny.This was disappointing and I feel empty.Far Better than the movie but that is a low bar to clear.Episode 6,7,8 sat in a MF bullet train just to get to the end, they could have easily made book 1 into Two seasons to get the characters fleshed out and added more emotion to the journey.Maybe I should thank the stars that they didnt shove more into it like they did for Yu Yu Hakusho Live action where they rammed 60 Episodes into 5 live action.Conclusion - People who have never seen this will love it since it is still adapting excellent and amazing storybeats from the OG. People who love the OG will not find any joy or soul in this.","5","22 February 2024"
"msmy98","I tried to like this, but with only 8 episodes there's not a lot to work with. The pacing is way too fast. If the movie didn't exist, this show would be getting all the hate that got.This season was supposed to be ""Book 1: Water"" and Aang didn't even attempt to learn it.The fact that they combined Jet + Teo and his father + Omashu all into one place is just ridiculous. We're supposed to see Aang and his friends go around the world exploring. There's supposed to be a balance between having fun + trying to focus on being the Avatar.The show just feels soulless to me. Some of the actors just feel like they're reading off a card. We barely get any time to bond with the characters and go through the journey with them. There's barely any character development. Thanks to Netflix only making 8 episodes.I really wish the directors or whoever nowadays STOP making shows with only 8-10 episodes a season and then making us wait 2-3 years for the next mediocre/bland season. That's exactly what's going to happen here for seasons 2 and 3.Overall, this show is disappointing and very rushed. People that haven't watched the cartoon (are there people who haven't??) need to forget this exists and just watch that instead. I have a feeling this is going to be like the Witcher, which Netflix ruined too (that was TRASH), just go play the game or read the book!","5","23 February 2024"
