"User","Comment","Rating","Date"
"SPZMaxinema","This might be controversial to say but this is my personal favorite MCU movie. Up until this point, nothing had been done like this in film and it was executed magnificently. Going into this movie in 2012 (having only seen Iron Man beforehand) I was skeptical and not interested. Then my brother took us to the theater to see it and it was one hell of a blast. I was blown away and wanted to watch all of the other Phase 1 movies and learn more about these other heroes. The casting and chemistry between them is on point, the villain is compelling and gets under your skin in the best way, and Robert Downey Jr.'s humor all around is unforgettable, and how can I not mention that glorifying theme song?? Not to mention Stan Lee's perfect cameo!","10","21 August 2021"
"aidanratesmovies","It's a film that future generations will still be gushing about, much like previous generations did with such classics as Star Wars and Indiana Jones. It may not be perfect, but The Avengers lives up to its promise and delivers quite a punch. I feel The Avenger struggles as most superhero movies do with finding a way to naturally introduce its characters in a way that doesn't seem forced or formulaic. They do a decent job for what it is, but there are certain times you will feel the campiness of older works coming on as you view the film, and truly you just have to sit through it to get to the action that eventually will be at hand. Besides that though, there isn't many flaws. The acting is rather good, Samuel L. Jackson may take a line too seriously or too, but it's all in good fun. Again Tom Hiddleston as Loki is a major standout, and I also enjoyed the return of Robert Downey Jr.'s Iron Man and Chris Hemsworth Thor- as well as an improved performance by Chris Evans as Captain America and a great performance from replacement Hulk actor Mark Ruffalo. The action scenes are exciting and tense, there is some camera angles here and there that can be a bit annoying, but for the most part it is rather clear and not awfully tedious action- as many films of this type could be. In the end, despite its campiness and formulaic actions- The Avengers is an incredibly fun time. It takes pride in its stories and characters and makes the most out of an experience that could have easily been phoned in. Its a film that will live on for some time, and one i'm rather glad I got to experience first hand.My Rating: 9.4/10.","9","24 June 2021"
"ivo-cobra8","Marvel's The Avengers (2012) is an awesome descent MCU superhero action flick that is spectacular and a real good one. The first time I watched it on my computer I loved it. I have seen this movie many times in the row I have this film on DVD and Blu-ray. The movie features an ensemble cast that includes Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, and Samuel L. Jackson. Joss Whedon did a fine job directing the film and I loved it is definitely in my top 10 favorite MCU superhero films. In the finale battle in New York the moment right there.. WILL NEVER... EVER.. BE AS COOL.. LIKE THIS WAS A COMIC MASTERPIECE.. I don't even read comics, but I did superheroes when I was younger.. I have a feeling justice league will never have this cohesion... this team work.. and will never be able to recreate this feeling.Robert Downey Jr. does a good job as a Iron Man he has a lot of good moments when he talks with Loki. In the third act he has to fight Thor that was cool then in the third act he had to do a lot of stuff, did the final stuff to safe the world. He is very much star of the film, that is why he number 1 star of the film he was payed a lot of more money then the other actors did ,but he deserved it he did a good job. Chris Evans as Captain America was spectacular I love his character I love how he defended and safe those people in the restaurant against Loki's army I thought that was descent. He does kick some ass when Thor hits him he uses his shield when SHIELD's ship was attacked he and Iron Man were trying to fix the ship I loved that. Mark Ruffalo was okay as The Hulk I thought he was better than Edward Norton's Hulk at least that is my opinion. Chris Hemsworth I liked him as Thor he was great. Scarlett Johansson as Black Widow was fantastic what does she do? She deals with the Hulk and Hawkeye the evil Hawkeye which I think is great. Jeremy Renner I like him a as an actor he is cool, he is mostly the bad guy in the film till the third act. In the third act he did a lot of cool stuff, he is cool with arrows. Loki he did fine the actor did fine as the villain I like him and Samuel L. Jackson as Nick Fury did fine. In the film, Nick Fury, director of the peacekeeping organization S.H.I.E.L.D., recruits Iron Man, Captain America, the Hulk, and Thor to form a team that must stop Thor's brother Loki from subjugating Earth.The pacing to me I thought it was little boring and it was too long but the third act was really was fast paced and the movie interested how 6 superheroes become a team who turn in to Avengers I think there was a lot of action scenes in the film that were really well done. I like special effect, I had a lot of fun scenes Hulk punching Thor or punching Loki when he said is emperor. That was fun, the film it self had a lot of action it self's. It was entertaining, the CGI was really good, Robert Downey Jr. had a lot funny moments and hilarious dialogues. I have more enjoyed Captain America because he cared more about people and of course Iron Man he saved the world from Loki's invaders. I thought it was an alright and I love it. It is definitely my favorite MARVEL superhero movie.Admittedly the first half or so isn't nearly as epic as the final 30 minutes. And the plot isn't that original. But I got what I paid for with this flick, Awesome action with Earth's Mightiest Heroes kicking alien ass.The Avengers in my honest opinion was better than Man of Steel because right next year DC superman movie come out that I have hated it and I wish I could have get the money back. I am going to try and sell the movie out. Marvel's The Avengers (classified under the name Marvel Avengers Assemble in the United Kingdom and Ireland), or simply The Avengers, is a 2012 American superhero film based on the Marvel Comics superhero team of the same name, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sixth film in the Marvel Cinematic Universe. The film was written and directed by Joss Whedon. I have reviewed 2 years the second movie twice and as a MARVEL fan I can say I have enjoyed this movie much more than Avengers: Age of Ultron. I am waiting now on Avengers: Infinity War and of course Spider-Man: Homecoming which is a spin off Captain America: Civil War like I said I have enjoy all three Captain America Films and I enjoy both Avenger films and I love Iron Man and Iron Man Three I am one of the fans that I liked that films. The rating I give is 10/10","10","2 July 2017"
"TheLittleSongbird","Superhero films are always fun to watch when they are done right, and while to some degree it is understandable why people wouldn't be totally enamoured with it(as seen in a lot of the negative comments, a lot of them being condescending though- enough with the ignorant conspiracy theories already!- and some not even worthy of being called reviews) Avengers Assemble for me was an example of a fun and intelligent superhero film that was done right. True, the story is formulaic but not to the extent that was too distracting. In fact my only two complaint was to do with one performances that didn't quite work personally. And that was Jeremy Renner who was rather on the dull side as Hawkeye, whose character development did seem a little rushed and underwritten, that Hawkeye has inner demons is made very clear but it could have come through more strongly. However the rest of the performances were great, a big shout out going to Tom Hiddleston who is serpentine personified as Loki, though Robert Downey Jnr's charismatic Iron Man, Samuel L. Jackson's no-nonsense Nick Fury, Mark Ruffalo's very confident Hulk(he doesn't make you miss Eric Bana or Ed Norton), Chris Hemsworth's dynamic and not wimpy Thor(if he was I put it down to his hidden demons character development) and Chris Evans' modest, heartfelt Captain America were equally great. Scarlett Johansson convinces mostly too, Black Widow's back story is intriguing and Johansson is wonderful when she acts fearless but when in her emotional, imploring moments her acting is rather forced and out of character for Black Widow. For a film with as many characters as seen here, Avengers Assemble still makes a vast majority of them very interesting(only Hawkeye really disappointed), in character and not one-sided and all of them have their turn to shine. It didn't feel to me like a film that tried to cram in too many heroes all at once for the sake of it. The film is very slickly made with astounding special effects and dazzlingly executed stunt-work. Alan Silvestri's score pulsates with power and the action sequences are exciting. The story may be formulaic and standard good-and-evil but is crisply paced and intelligently handled with just the right blend of humour, pathos and action with not one component over-shadowing the others. What was really enjoyable especially was the toe-to-toe with Thor and Iron Man and Hulk. What was really remarkable was the script, filled with thoughtful exposition and snappy banter that stayed true to The Avengers while also with Joss Whedon's own style that was apparent in a lot of his other work. Overall, Avengers Assemble may not be 100% perfect or among the best ever but it is still an outstanding film with a lot to love about it, and no this is not coming from a fake account or a plant, just someone who can be hard to please who genuinely enjoyed it. 9/10 Bethany Cox","9","10 August 2014"
"dollybear-07164","I watched this movie when I was younger and it was probably my favorite marvel movie until Infinity War or Endgame. Loki was a fun villain ngl. It was when the Avengers first assembled so it's a pretty important movie. Nothing can replace it.","9","31 May 2021"
"krieg8814254","I have got to tell anyone who will listen that this is one of THE best adventure movies I've ever seen. It's almost impossible to convey how pumped I am now that I've seen it. I purposefully avoid hyping myself for movies because when expectations are too high, nothing seems to be able to reach them. I usually avoid the hype train whenever possible. That said, I was jacked to see this movie and was fully aboard the hype train. It couldn't be helped. So, I was certainly open to intense disappointment had this movie not been good. I'm so happy to report just the opposite has happened.The only word I can think of to describe this movie is AWESOME. It's amazing work and everything I had hoped for and more. It's exceptional entertainment for the uninitiated but it has everything a fanboy could want to be sure. It has every little nuance of what a fanboy wants to see. One of the MANY things I loved was the tension and flat out conflict that arises between team members. It's not a two dimensional ""team wonderful that bands together to fight crime ho ho ho."" Most don't like each other at fist and there is so much texture to be played. That is great because so many of these characters are larger than life. They have egos and the big guns aren't used to working with other people or even playing by the rules. Stark, Thor and Banner all work ""the other side of the fence"" so to speak. Then there's the Widow, Hawkeye and Captain America who are used to following orders and playing within a command structure. They are all thrown together in a wonderful and, best of all, believable fashion. Again, more than I ever dreamed possible.The entire cast really delivered. You needed more than just action actors or stunt doubles to play all these parts. The pathos is there but so are the timing and true deep performances. Look, I was missing Ed Norton as much as anyone on that hype train I talked about but I'm so happy to say that Mark Ruffalo won me over. I hope he's locked up for the long haul because we don't need any more changes. Three was the lucky number for movie Banners. Every other actor in Avnegers that we've seen before is BETTER than their previous incarnation (EVERY single one) with the possible exception of RDJ as Stark. He's great but it's hard to top his take on the character from the original Iron Man in an ensemble movie. I also have to fully disclose that I'm insanely attracted to Scarlett Johansson. I thought her Widow character was amazing but I'm definitely judging that through rose colored glasses. The character arcs that run there course during this film will surprise a lot of general audiences expecting nothing more than a Transformers type popcorn scarfdown.I honestly don't want to give away ANY of the movie with this review because this is one film that needs every scene to be savored. Do yourself a favor and remain unspoiled. It's how I saw the movie (apart from what the trailers showed) and even though you're obviously reading this review, read no others with any kind of spoilers whatsoever. Experience the awesomeness for yourself. Avengers as a movie and as a team on screen is an unstoppable force. I'm just going to say, Hulk & Thor combination equals AWESOME and leave it at that. This movie defines MUST SEE.","10","12 April 2012"
"facebook-124-955845","I'm sorry to say The Avengers isn't a good movie; it's a GREAT  MOVIE!!!! It's not only the best team superhero movie ever made, but it  may just be the best comic book adaption made period!  The Avengers is the culmination of what began in Iron Man; and  continued through The Incredible Hulk, Iron Man 2, Thor and Captain  America. It was only a few years ago that my son and I had just  finished watching Iron Man and as the credits were ending, Samuel L.  Jackson appeared on screen as Nick Fury and spoke to Tony Stark about  joining Avengers Initiativein that short scene, the framework for  potentially the greatest comic book movie of all-time had begun!   Director Joss Whedon, most known for the T.V. series Buffy The Vampire  Slayer, takes the foundation that was built in the prior films and  brings together the greatest team of superheroes in film history, The  Avengers: Iron Man/Tony Stark (Robert Downey Jr.), Captain  America/Steve Rogers (Chris Evans), Thor (Chris Hemsworth), Hulk/Bruce  Banner (Mark Ruffalo), Black Widow (Scarlett Johansson), and Hawkeye  (Jeremy Renner) as ""assembled"" by Nick Fury. Whedon's scripts usually  include clever banter, gripping action sequences and an air of mystery  and The Avengers is no different. Whedon has an utter love for comic  books, and it is proudly put on display in The Avengers.  The cast does a great job of bringing these iconic characters to life,  beginning with Robert Downey Jr. Unlike Iron Man 2, in which Downey  seemed to skate through scene after scene, Downey plays Stark almost  effortlessly, delivering his lines with relative ease allowing his  charisma, charm and smugness to shine through; Robert Downey Jr. IS  Tony Stark! Chris Evans' solidifies himself in the role of Captain  America. He was very good in his solo film, but truly owns the role  standing alongside Iron Man and Thor. Chris Hemsworth's Asgardian god  Thor has some incredible battle scenes and indirectly provides one of  the film's most funny moments. After being seriously underutilized in  Iron Man 2, Scarlett Johansson's Black Widow is provided a back-story,  which helps in developing the character and provides an opportunity to  prove she is much more than just a pretty face; she's as dangerous  psychologically as she is physically. I could envision myself enjoying  a beat-down at the hands (and feet) of Black Widow. The character I was  most concerned about being given little story and the least amount of  screen time was Jeremy Renner's Hawkeye; happily, he's not left by the  wayside and does a more than admirable job of developing the character.  Hawkeye stands alongside Robin Hood and Katniss Everdene (The Hunger  Games) as the best archers to grace the silver screen. I'd like to see  more of him in a film of his own. Mark Ruffalo, the most recent choice  to play Hulk, is far better suited to the role than Eric Bana (The  Hulk) and Ed Norton Jr (The Incredible Hulk). Ruffalo looks more the  part of the nerdy scientist Banner and plays the part without looking  angry in every scene. In The Avengers, the Hulk is at his most  impressive, both in his on-screen transformation and the violence he  displays when the opportunity calls for him to ""hulk out"". If any  character appeared to stand out a little bit more than the others, for  me it was the Hulk. Samuel L. Jackson's Nick Fury is finally more than  just the guy making surprise appearances. Fury is finally able to  stretch his legs some, and Jackson slides quite easily into the role.  Clark Gregg's Agent Caulson returns, and Cobie Smulders makes her  Marvel films debut as Agent Maria Hill, and she is a welcome addition.  The film's main villain is Thor's adopted-brother Loki, played by Tom  Hiddleston. You would think the part would be a difficult one to play  being opposite such powerful personalities and strong characters, but  Hiddleston does a fantastic job; the performance should not go  unnoticed, because it's one of the strong points of the film. Loki is  not a villain without purpose and Hiddleston comes across as a devious  mastermind without being cartoonish.  At a running-time of 2+ hours, The Avengers is well paced and time  flies by. The effects are top-notch, the acting is very good, and the  script drives the movie elevating its strengths. For viewers that may  not have seen any of the other films (and if so, why not!?!?), we're  provided just enough information to bring everyone up to speed without  feeling overdone. Whedon provides more than just a standard comic book  film, but a story with reason that's backed up with incredible action  and humor.   Although the film is filled with larger than life characters, none are  short changed; each character is given at least one great scene to work  with, and the opportunities don't go to waste. The film's finale  provides a deafening crescendo of action that is breathtaking. As usual  with Marvel films, be sure to stay around for the post credit sequence,  which provides a surprising reveal.  I went into The Avengers with unfairly high expectations, due to all of  those that were involved, as well as the films that came before it.  After viewing the initial trailers and not being blown away, I had set  myself up for disappointment. It was only a matter of minutes after the  film started that I was put at ease, and just minutes later when my  expectations were blown away. I never imagined that it was possible to  put onto the screen, what I was watching. I'm happy that Marvel had the  sense to keep these properties to themselves and to move forward with  these characters in the manner in which they did. Marvel Studios and  Disney are going to make a boatload of money off this film, and  deservedly so; because there's never been another movie made of its  caliber.  Grade: A+","7","20 April 2012"
"NORTHPOINTMJM","If you're a fan of epic adventure movies, then this is your dream come true. This is the type of film you fantasized about growing up! It really is the ultimate superhero mash-up and it's done perfectly. The makers of this film certainly understand spectacle but they also get the intricacies and depth these type of characters can provide. That right there assures this instant classic will be thought of as the best as well as the biggest film of 2012. The depth of this movie really did surprise me. Even though the high quality of the actors involved and there previous work as these very same characters seemed to indicate otherwise, I was expecting a wild popcorn movie. I was wrong in thinking it was too much to convey in one film. I couldn't be more pleased because they balanced everything masterfully. Sure, there's the popcorn fun we were all expecting but there's also a definite soul to the film and a smart plot as well. It's truly a stupendous movie regardless of genre.Marvel did it, they pulled off the culmination of a master plan that's been taking shape for years. They deliver a movie the likes of which we've never seen before and as good of a film that's ever been made in its genre.There's a reason this grand of a movie has never been attempted before now. How do you fully flesh out, care about and establish this vast group and still deliver a fun, crisp and coherent story? It's extremely difficult to navigate that edge-of-your-seat excitement while at the same time caring about each one of the characters and their struggles. One of the most impressive aspects of The Avengers is that they managed to get each hero their time in the spotlight and their own character arc. Every single main lead steps up and is treated with remarkable intelligence and given room to shine.I loved that the stakes in this film are ridiculously high and the threat so impressive that there really is a need for these diverse characters to come together. That could have been a stumbling block in terms of story but it's treated just right. It's also a great idea that they chose to introduce all the characters to the audience as if you've never seen them before. Sure, the other films set up and give depth to each character but even if you missed their solo films, you'll still know and care about them in this movie.It's also wonderful that everything is as big as it should be. This truly is the comic book epic of our lifetime (the fanboy version of Gone With The Wind circa 1939 if you will) and it all shows up on screen. Everything looks GREAT and feels epic. The equipment (love that Helicarrier), the relationships, the stars, the characters themselves and the battles are all huge and as fully mesmerizing as they should be. There are scenes that are emotional and there are scenes that are going to make any audience member scream ""BADASS!"" and mean it.I'm serious when I say that the big, explosive moments are as grand as they should be but it's the smaller character moments in this film that really take it to another level. At this point, we've all seen how good some CG action can get but grounding it with a great story and with meaningful quieter moments is what makes a movie good. That's the ace up the Avengers sleeve. This is NOT some CGI video game movie. Cut out the action and I'd still want to see this movie. So, it's safe to say that they are replicating the comic book experience on the big screen. Years of depth coupled with spectacle and advanced fiction is a treat for non-comic book and comic book fans alike. That's is The Avengers greatest power... the ability to entertain all comers!","8","19 April 2012"
"planktonrules","At this point, ""The Avengers"" has made around 100 trillion dollars (or so)--and so it's obvious that people love the film. My own daughter went to the premier in New York and then went to it on opening night in general release--and was mad I didn't take her with me tonight to see it! Obviously, she loved the film as well. As for me, I liked it but didn't quite share the overall exuberance for the film. Mind you, I liked it--but I think I preferred the earlier films before the Avengers team was formed. There was a certain charm that I didn't quite see recaptured in the film. Now the film is good--it's just that what I like in these other films I would have liked more of in ""The Avengers"". Specifically, the movie could have used a bit more humor and a bit more character development. When I read the IMDb trivia, it seems that originally the film had about 30 more minutes--all showing Steve Rogers (Captain America) trying to adjust to his new life. I would have LOVED seeing all this--and less of the HUGE battle at the end of the film. For me, it just felt numbing after a while and I would have liked more of the characters when they weren't fighting. Again, however, I DID like the film....but the earlier Marvel/Disney films I liked just a bit better. Just my two cents worth...","9","12 May 2012"
"CalRhys","'Avengers Assemble' ('The Avengers') is a truly enjoyable superhero film that lives up to its hype and creates a story that allows for four of the greatest superheroes to connect in this mega-blockbuster extravaganza. Joss Whedon has created one of the most action-packed Marvel films to have graced the screen, full of humour, thrills and a great cast of characters, all of which impel this visual effects-driven spectacle. Whilst I had the great opportunity to watch this epic in the cinema in 3D, the film is equally as stunning on an average television set, with the final battle between the Avengers and Loki's army being one of the most spectacular scenes in a superhero movie. An impressive and remarkable fantastical superhero flick from Whedon.","9","12 July 2014"
